# FONLL heavy quark hadroproduction cross section, calculated on Thu Jun 17 11:30:49 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 5
# ptmax = 20
# ymin  = -5
# ymax  = 5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dy (pb)
y central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
2.6000 1.8760e+07 1.3086e+07 2.6720e+07 1.3580e+07 2.6320e+07 1.6970e+07 2.0770e+07 1.7290e+07 2.0230e+07 2.0130e+07 1.7630e+07 2.2610e+07 1.4140e+07 2.6320e+07 1.3580e+07
2.7000 1.8140e+07 1.2685e+07 2.5846e+07 1.3160e+07 2.5460e+07 1.6410e+07 2.0100e+07 1.6740e+07 1.9540e+07 1.9520e+07 1.7020e+07 2.1830e+07 1.3670e+07 2.5460e+07 1.3160e+07
2.8000 1.7510e+07 1.2272e+07 2.4939e+07 1.2730e+07 2.4570e+07 1.5830e+07 1.9400e+07 1.6180e+07 1.8840e+07 1.8880e+07 1.6400e+07 2.1040e+07 1.3190e+07 2.4570e+07 1.2730e+07
2.9000 1.6860e+07 1.1847e+07 2.4026e+07 1.2290e+07 2.3670e+07 1.5230e+07 1.8700e+07 1.5600e+07 1.8120e+07 1.8240e+07 1.5770e+07 2.0240e+07 1.2700e+07 2.3670e+07 1.2290e+07
3.0000 1.6200e+07 1.1427e+07 2.3091e+07 1.1850e+07 2.2750e+07 1.4630e+07 1.7980e+07 1.5020e+07 1.7390e+07 1.7570e+07 1.5120e+07 1.9420e+07 1.2200e+07 2.2750e+07 1.1850e+07
3.1000 1.5530e+07 1.0986e+07 2.2144e+07 1.1390e+07 2.1820e+07 1.4020e+07 1.7240e+07 1.4420e+07 1.6650e+07 1.6900e+07 1.4470e+07 1.8590e+07 1.1690e+07 2.1820e+07 1.1390e+07
3.2000 1.4850e+07 1.0534e+07 2.1180e+07 1.0920e+07 2.0870e+07 1.3400e+07 1.6500e+07 1.3810e+07 1.5900e+07 1.6200e+07 1.3810e+07 1.7750e+07 1.1180e+07 2.0870e+07 1.0920e+07
3.3000 1.4170e+07 1.0079e+07 2.0212e+07 1.0450e+07 1.9920e+07 1.2770e+07 1.5750e+07 1.3200e+07 1.5140e+07 1.5500e+07 1.3150e+07 1.6900e+07 1.0660e+07 1.9920e+07 1.0450e+07
3.4000 1.3480e+07 9.6106e+06 1.9226e+07 9.9660e+06 1.8950e+07 1.2140e+07 1.4990e+07 1.2570e+07 1.4380e+07 1.4790e+07 1.2480e+07 1.6050e+07 1.0140e+07 1.8950e+07 9.9660e+06
3.5000 1.2780e+07 9.1444e+06 1.8242e+07 9.4800e+06 1.7980e+07 1.1500e+07 1.4230e+07 1.1950e+07 1.3610e+07 1.4070e+07 1.1810e+07 1.5200e+07 9.6130e+06 1.7980e+07 9.4800e+06
3.6000 1.2090e+07 8.6717e+06 1.7253e+07 8.9910e+06 1.7010e+07 1.0870e+07 1.3460e+07 1.1320e+07 1.2850e+07 1.3350e+07 1.1150e+07 1.4350e+07 9.0860e+06 1.7010e+07 8.9910e+06
3.7000 1.1390e+07 8.2018e+06 1.6271e+07 8.5000e+06 1.6040e+07 1.0240e+07 1.2700e+07 1.0690e+07 1.2090e+07 1.2620e+07 1.0480e+07 1.3500e+07 8.5610e+06 1.6040e+07 8.5000e+06
3.8000 1.0700e+07 7.7224e+06 1.5287e+07 8.0080e+06 1.5070e+07 9.6060e+06 1.1940e+07 1.0050e+07 1.1340e+07 1.1890e+07 9.8240e+06 1.2660e+07 8.0380e+06 1.5070e+07 8.0080e+06
3.9000 1.0010e+07 7.2506e+06 1.4314e+07 7.5170e+06 1.4110e+07 8.9820e+06 1.1180e+07 9.4250e+06 1.0600e+07 1.1170e+07 9.1730e+06 1.1830e+07 7.5200e+06 1.4110e+07 7.5170e+06
4.0000 9.3340e+06 6.7581e+06 1.3350e+07 7.0080e+06 1.3160e+07 8.3650e+06 1.0430e+07 8.7990e+06 9.8690e+06 1.0440e+07 8.5320e+06 1.1010e+07 7.0080e+06 1.3160e+07 7.0300e+06
4.1000 8.6670e+06 6.2709e+06 1.2408e+07 6.5040e+06 1.2230e+07 7.7590e+06 9.6990e+06 8.1790e+06 9.1540e+06 9.7300e+06 7.9030e+06 1.0210e+07 6.5040e+06 1.2230e+07 6.5480e+06
4.2000 8.0130e+06 5.7941e+06 1.1477e+07 6.0110e+06 1.1310e+07 7.1660e+06 8.9770e+06 7.5680e+06 8.4580e+06 9.0270e+06 7.2890e+06 9.4220e+06 6.0110e+06 1.1310e+07 6.0730e+06
4.3000 7.3750e+06 5.3283e+06 1.0575e+07 5.5300e+06 1.0420e+07 6.5880e+06 8.2720e+06 6.9680e+06 7.7820e+06 8.3370e+06 6.6920e+06 8.6570e+06 5.5300e+06 1.0420e+07 5.6070e+06
4.4000 6.7550e+06 4.8751e+06 9.6939e+06 5.0630e+06 9.5490e+06 6.0260e+06 7.5860e+06 6.3810e+06 7.1290e+06 7.6620e+06 6.1140e+06 7.9160e+06 5.0630e+06 9.5490e+06 5.1520e+06
4.5000 6.1540e+06 4.4362e+06 8.8413e+06 4.6110e+06 8.7060e+06 5.4830e+06 6.9210e+06 5.8080e+06 6.5010e+06 7.0060e+06 5.5570e+06 7.2000e+06 4.6110e+06 8.7060e+06 4.7090e+06
4.6000 5.5770e+06 4.0130e+06 8.0208e+06 4.1760e+06 7.8950e+06 4.9620e+06 6.2800e+06 5.2530e+06 5.9010e+06 6.3710e+06 5.0230e+06 6.5140e+06 4.1760e+06 7.8950e+06 4.2810e+06
4.7000 5.0260e+06 3.6099e+06 7.2373e+06 3.7620e+06 7.1200e+06 4.4650e+06 5.6680e+06 4.7210e+06 5.3310e+06 5.7630e+06 4.5150e+06 5.8600e+06 3.7620e+06 7.1200e+06 3.8710e+06
4.8000 4.5020e+06 3.2262e+06 6.4930e+06 3.3680e+06 6.3830e+06 3.9940e+06 5.0860e+06 4.2130e+06 4.7930e+06 5.1810e+06 4.0340e+06 5.2400e+06 3.3680e+06 6.3830e+06 3.4790e+06
4.9000 4.0080e+06 2.8625e+06 5.7883e+06 2.9960e+06 5.6860e+06 3.5490e+06 4.5340e+06 3.7300e+06 4.2860e+06 4.6280e+06 3.5810e+06 4.6560e+06 2.9960e+06 5.6860e+06 3.1070e+06
